,Indicator,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22
0,DHW,49304.52815500592,43680.191682778415,9901.84907658445,35103.617292178606,52676.97512015384,90560.4368756173,17379.415191001874,17379.415191001874,30502.86695953273,11108.603262196484,33810.666379022856,18510.747240013152,20805.735110864607,35987.1337495017,54099.22112462517,162265.3396010466,37344.73220831524,115277.34849877807,39133.314304847365,38357.543756953906,38357.543756953906,67249.60937051344
1,HP_Pel,39677.01215430653,35153.59836497423,7946.553192056166,28242.216013975965,38699.2676924417,66267.74972795293,12730.918656863741,12730.918656863741,22378.104359271383,8087.423284163865,24715.696791568636,13588.233005574639,15325.714170394225,26376.538761361524,43540.003240671074,96964.63209475318,30052.198396437463,92773.72351253006,26778.964712143155,26249.02575215736,26249.02575215736,54123.960183380084
2,HP_Qth,189123.99455125624,167878.908496427,37273.885136777346,134129.2081334049,189263.2347965108,323166.04970239056,62036.233308206094,62036.233308206094,109257.38076721036,39042.75170886016,120098.6161291592,66390.86729831176,75178.74931243385,128623.39975391456,208112.99916389416,438523.8939881155,143210.8276668043,442918.0643186532,123957.24390844945,122153.490377467,122153.490377467,258750.65465340173
3,EB_Pel,2674.708588114771,2197.819613710469,951.7010205521691,2178.485595428334,576.1772813756882,1118.1748367967868,237.23950532548545,237.23950532548545,378.7254534136387,234.64008166868962,541.826174661103,220.2583153279881,204.78463822879155,478.72171867932934,2633.601335658812,1028.811707824379,2049.577421258175,5848.53626443889,999.289535314256,751.4225748179269,751.4225748179269,3252.064034582682
4,TES_Qch,5051.949290365541,4652.3597042543915,704.3910594061807,3333.4902347017605,15662.349918035774,25479.461123264326,4797.718408859475,4797.718408859475,8761.237259044641,2533.382651274896,8808.981789355621,5396.8973861243285,6579.20112849282,10084.321263584565,5867.036502110897,16728.75527091796,3806.972552490422,12204.363787912658,3715.328620655043,4085.771227055895,4085.771227055895,7320.876480791016
5,TES_Qdis,-345.8110613528997,-308.7289586727019,-94.13703065586171,-258.53938795202475,-154.43452855551297,-524.9910403513395,-45.16053847860893,-45.16053847860893,-77.16830794289251,-30.60422625338795,-80.24555919430084,-47.83115970183635,-48.802682413605524,-88.11158799500416,-376.9773495905553,-12745.99678062367,-258.46925871034125,-832.4247983771372,-2689.3398843670725,-2773.536013870996,-2773.536013870996,-466.09682798227396
6,HP_Qth_net,184417.8563222436,163535.2777508453,36663.631108027024,131054.25728665515,173755.31940703056,298211.57961947756,57283.67543782523,57283.67543782523,100573.3118161086,36539.973283838655,111369.87989899788,61041.80107188926,68648.35086635464,118627.190078325,202622.94001137384,434541.1354978212,139662.32437302422,431546.1253291177,122931.25517216149,120841.25516428209,120841.25516428209,251895.875000593
7,EB_Qth,2407.2377293032937,1978.0376523394223,856.5309184969522,1960.6370358855006,518.5595532381194,1006.3573531171082,213.5155547929369,213.5155547929369,340.85290807227483,211.17607350182067,487.6435571949927,198.2324837951893,184.3061744059124,430.8495468113964,2370.241202092931,925.9305370419412,1844.6196791323575,5263.682637995001,899.3605817828304,676.2803173361343,676.2803173361343,2926.8576311244137
8,DH_Qth,0.0,0.0,0.0,0.0,0.0,387.69867089567964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179389.99611905293,0.0,0.0,24453.63721704021,23827.161813730054,23827.161813730054,0.0
9,Qth_dem,137520.56589654216,121833.12372040696,27618.3129499393,97911.27703036185,121596.90384011401,209045.1987678788,40117.77580161662,40117.77580161662,70411.29776464793,25642.546095143687,78046.85707716852,42729.28631567103,48026.92192989577,83070.90587563522,150893.96008884153,452591.722552869,104162.21184384087,321532.4594683356,109150.93866613663,106987.15353839399,106987.15353839399,187573.1232612043
10,HP_Disconnections,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1404.0,0.0,0.0,810.0,810.0,810.0,0.0
