#1	
double tab1(8760,2)	
0	1.8
1	2.4
2	2.7
3	3.1
4	3.4
5	3.6
6	3.8
7	3.7
8	3.7
9	3.6
10	3.7
11	3.8
12	4
13	4
14	3.8
15	3.9
16	4.4
17	4.8
18	5.2
19	5
20	4.1
21	3.6
22	2.8
23	2
24	1.9
25	1.8
26	1.8
27	2
28	2.4
29	2.9
30	3.5
31	3.5
32	3.5
33	3.6
34	3.6
35	3.7
36	4.4
37	4.3
38	4.3
39	4.3
40	4.2
41	4.3
42	4
43	3.9
44	3.8
45	3.4
46	3.3
47	3.2
48	3.1
49	2.8
50	2.7
51	2.7
52	2.7
53	2.6
54	3
55	2.8
56	3
57	3.1
58	2.9
59	3.5
60	3.7
61	3.6
62	3.3
63	3.1
64	3.7
65	3.7
66	3.6
67	3.8
68	3.8
69	3.8
70	3.2
71	3.3
72	2.9
73	3.3
74	3.4
75	2.7
76	3.2
77	3.3
78	2.7
79	3.3
80	3.3
81	3
82	2.5
83	2.5
84	2.6
85	2.8
86	2.7
87	2.9
88	3
89	2.5
90	2.7
91	2.8
92	2.8
93	2.8
94	2.6
95	2.4
96	2.4
97	2.5
98	2.5
99	2.5
100	2.6
101	2.6
102	2.7
103	2.5
104	2.3
105	2.2
106	1.9
107	1.6
108	1.5
109	1.2
110	1
111	1.2
112	0.6
113	0.3
114	0
115	-0.3
116	-0.5
117	-0.9
118	-1
119	-1.3
120	-1.3
121	-1.5
122	-2
123	-2.6
124	-3.4
125	-3.5
126	-3.3
127	-3.4
128	-3.6
129	-3.7
130	-3.7
131	-3.6
132	-3.7
133	-3.6
134	-3.4
135	-3.1
136	-3.3
137	-3.7
138	-4.2
139	-4.6
140	-4.7
141	-5
142	-5
143	-5.1
144	-4.8
145	-4.8
146	-5
147	-4.6
148	-4.8
149	-4.7
150	-4.5
151	-4.5
152	-4.8
153	-4.7
154	-4.3
155	-3.2
156	-2.4
157	-1.4
158	-1.3
159	-0.7
160	0.1
161	0.5
162	0.8
163	1
164	0.9
165	0.5
166	0.2
167	-0.1
168	0
169	-0.4
170	-0.3
171	-0.3
172	-0.3
173	-0.4
174	-0.5
175	-0.9
176	-1.8
177	-1.1
178	-0.7
179	0
180	0.5
181	1.4
182	0.9
183	0.7
184	0.7
185	0.6
186	0.5
187	0.3
188	0
189	-0.3
190	-0.7
191	-0.5
192	0.1
193	0.4
194	0.7
195	0.7
196	0.6
197	0.3
198	0.1
199	0
200	0
201	0.2
202	0.5
203	0.7
204	0.6
205	0.5
206	0
207	-0.3
208	-0.7
209	-1
210	-1.5
211	-2.1
212	-2.4
213	-2.8
214	-3.3
215	-3.8
216	-4.3
217	-4.3
218	-4.7
219	-5.4
220	-5.2
221	-5
222	-5.1
223	-5
224	-5.3
225	-5.2
226	-4
227	-3.8
228	-4
229	-3.6
230	-3.3
231	-2.7
232	-1.9
233	-1.3
234	-0.9
235	-0.6
236	-0.5
237	-0.3
238	-0.2
239	-0.4
240	-0.5
241	-0.4
242	-0.6
243	-0.5
244	-0.5
245	-0.2
246	0.1
247	0.3
248	0.2
249	0.4
250	0.5
251	0.9
252	0.9
253	0.9
254	0.9
255	1
256	1.1
257	0.6
258	0.6
259	0.6
260	0.6
261	1
262	1.5
263	1.5
264	1.5
265	1
266	1
267	0.8
268	0.6
269	0.6
270	0.7
271	0.8
272	0.7
273	0.7
274	0.8
275	0.6
276	0.6
277	0.7
278	0.6
279	0.6
280	0.2
281	0.3
282	0.4
283	0.6
284	0.5
285	0.5
286	0.3
287	0
288	0
289	0
290	0
291	0.1
292	0
293	0.1
294	0.1
295	0.15
296	0.2
297	0.4
298	0.5
299	0.5
300	0.5
301	0.5
302	0.3
303	0.3
304	0.3
305	0.4
306	0.4
307	0.6
308	0.7
309	0.8
310	0.9
311	0.9
312	0.9
313	0.7
314	0.6
315	0.8
316	0.9
317	0.9
318	1.1
319	1.3
320	1.3
321	1.2
322	1.2
323	1.4
324	1.4
325	1.3
326	1.1
327	0.7
328	0.4
329	0.3
330	0.1
331	0.1
332	0
333	-0.3
334	-0.6
335	-0.6
336	-0.6
337	-0.5
338	-0.6
339	-0.7
340	-0.5
341	-0.3
342	-0.1
343	-0.2
344	-0.3
345	-0.4
346	-0.4
347	-0.5
348	-0.6
349	-0.6
350	-0.7
351	-0.7
352	-0.7
353	-0.8
354	-0.7
355	-0.4
356	-0.1
357	0
358	0.1
359	0.2
360	0.2
361	0.3
362	0.4
363	0.7
364	0.9
365	0.9
366	1
367	1.3
368	1.3
369	1.2
370	1.3
371	1.2
372	0.4
373	-0.6
374	-0.6
375	-0.4
376	-0.1
377	0.4
378	-0.1
379	0.1
380	-0.1
381	-0.2
382	-0.7
383	-1.1
384	-1.4
385	-1.5
386	-1.3
387	-1.2
388	-1.1
389	-1.2
390	-1.5
391	-1.7
392	-1.9
393	-2
394	-2.2
395	-2.3
396	-2.2
397	-2.3
398	-2.2
399	-2.2
400	-2
401	-2
402	-2
403	-2
404	-1.8
405	-1.7
406	-1.8
407	-1.7
408	-1.8
409	-2.3
410	-2.7
411	-2.8
412	-2.4
413	-2.1
414	-2.2
415	-1.8
416	-1.6
417	-1.2
418	-0.7
419	-0.4
420	-0.6
421	-0.4
422	-0.4
423	-0.4
424	-0.7
425	-0.5
426	-0.6
427	-1
428	-1.2
429	-1
430	-1.2
431	-2.2
432	-2.4
433	-2.1
434	-2
435	-2.6
436	-3.1
437	-3.3
438	-3.8
439	-3.2
440	-2.9
441	-2.4
442	-1.9
443	-1.4
444	-1.2
445	-1.3
446	-1.5
447	-2.1
448	-2.2
449	-2.4
450	-2.1
451	-1.9
452	-1.7
453	-1.5
454	-1.4
455	-1.4
456	-1.7
457	-1.8
458	-1.6
459	-1.5
460	-1.3
461	-1.3
462	-1.3
463	-1.2
464	-1.1
465	-0.1
466	0.7
467	1
468	1.1
469	1
470	0.7
471	0.2
472	-0.2
473	-0.7
474	-1.5
475	-1.7
476	-2.6
477	-2.6
478	-3.7
479	-4.2
480	-4.9
481	-4.2
482	-5
483	-5
484	-5.2
485	-4.7
486	-5.8
487	-7.7
488	-7.7
489	-7
490	-6.9
491	-5
492	-4.9
493	-4.2
494	-3.9
495	-4.7
496	-5.2
497	-5
498	-5.5
499	-4.3
500	-3.9
501	-3.3
502	-3.5
503	-3.9
504	-3.9
505	-4.2
506	-4.6
507	-5
508	-5.6
509	-6.2
510	-5.5
511	-6.1
512	-6.9
513	-6
514	-5.7
515	-5.5
516	-5.2
517	-5.3
518	-5.1
519	-4.8
520	-4.9
521	-4.8
522	-4.9
523	-4.7
524	-4.5
525	-4.2
526	-3.9
527	-3.7
528	-3.6
529	-3.6
530	-3.3
531	-3.2
532	-3.5
533	-3.5
534	-3.4
535	-3.2
536	-2.8
537	-2.2
538	-1.1
539	-0.6
540	-0.5
541	-0.8
542	-1.4
543	-1.7
544	-1.5
545	-1.1
546	-0.6
547	-0.4
548	-0.2
549	-0.1
550	-0.2
551	-0.1
552	0.7
553	1
554	1.1
555	0.9
556	0.6
557	0.9
558	1.3
559	2
560	2.9
561	3.4
562	3.8
563	4.3
564	4.8
565	4.9
566	4.7
567	4.3
568	4
569	4.7
570	5.7
571	6.3
572	6.8
573	6.7
574	6.8
575	6.7
576	6.3
577	6.2
578	6
579	5.9
580	5.7
581	5.6
582	5.6
583	6
584	6.2
585	6.5
586	6.6
587	7.1
588	6.8
589	6.8
590	6.6
591	6.1
592	6
593	5.9
594	5.8
595	5.9
596	5.7
597	5.5
598	5
599	4.9
600	4.5
601	4.5
602	4.2
603	4.1
604	3.6
605	3.3
606	2.7
607	2.9
608	3.1
609	3.6
610	4.3
611	4.6
612	4.6
613	4.6
614	4.7
615	4.7
616	4.4
617	4.3
618	4.3
619	4.1
620	3.7
621	3.9
622	3.7
623	3.4
624	3.5
625	3.3
626	2.4
627	1.9
628	1.6
629	1.5
630	1.5
631	1.4
632	1.3
633	0.8
634	0.8
635	1.1
636	1.2
637	1.1
638	0.9
639	0.5
640	0
641	-0.4
642	-0.8
643	-1
644	-1.1
645	-1.1
646	-0.6
647	-0.3
648	0.8
649	0.8
650	1.5
651	2.3
652	2
653	2.2
654	1.6
655	1.5
656	2
657	2.2
658	2.3
659	2.3
660	2.6
661	2.9
662	2.9
663	3.1
664	3.1
665	2.5
666	2
667	1.8
668	1.5
669	0.9
670	1.1
671	1
672	1.1
673	1
674	0.9
675	1.1
676	1
677	0.9
678	0.8
679	1.1
680	1.1
681	1.4
682	1.6
683	1.8
684	1.5
685	1.5
686	1.5
687	1.3
688	0.6
689	0.6
690	0.5
691	0.3
692	0.3
693	0.2
694	0.2
695	0.1
696	0.1
697	0
698	-0.1
699	-0.1
700	-0.3
701	-0.6
702	-1
703	-0.8
704	-0.8
705	-0.8
706	-1.1
707	-1.4
708	-1.3
709	-1.3
710	-1.4
711	-1.5
712	-1.3
713	-1.1
714	-1
715	-1
716	-0.8
717	-0.8
718	-0.8
719	-0.8
720	-0.9
721	-1
722	-1.1
723	-1.6
724	-2
725	-1.9
726	-0.8
727	0.6
728	1.4
729	1.6
730	1.8
731	2.3
732	2.7
733	2.6
734	2
735	1.7
736	1.8
737	1.6
738	1.9
739	2.1
740	1.5
741	1.7
742	1
743	0.9
744	1.5
745	2.5
746	3
747	3.4
748	3.5
749	2.6
