,DH_PE_MW
2000-01-01 00:30:00,0.0
2000-01-01 01:00:00,61.0
2000-01-01 01:30:00,0.0
2000-01-01 02:00:00,163.85916095808707
2000-01-01 02:30:00,0.0
2000-01-01 03:00:00,163.85916095808756
2000-01-01 03:30:00,0.0
2000-01-01 04:00:00,163.85916095808764
2000-01-01 04:30:00,0.0
2000-01-01 05:00:00,0.0
2000-01-01 05:30:00,0.0
2000-01-01 06:00:00,0.0
2000-01-01 06:30:00,0.0
2000-01-01 07:00:00,0.0
2000-01-01 07:30:00,0.0
2000-01-01 08:00:00,189.46775112937465
2000-01-01 08:30:00,0.0
2000-01-01 09:00:00,213.91231448425
2000-01-01 09:30:00,0.0
2000-01-01 10:00:00,205.76412670975043
2000-01-01 10:30:00,0.0
2000-01-01 11:00:00,192.7492203515717
2000-01-01 11:30:00,0.0
2000-01-01 12:00:00,183.56287619383187
2000-01-01 12:30:00,0.0
2000-01-01 13:00:00,187.28085561003508
2000-01-01 13:30:00,0.0
2000-01-01 14:00:00,193.44353056785525
2000-01-01 14:30:00,0.0
2000-01-01 15:00:00,183.49674526381335
2000-01-01 15:30:00,0.0
2000-01-01 16:00:00,179.52248539473413
2000-01-01 16:30:00,0.0
2000-01-01 17:00:00,170.90149923981485
2000-01-01 17:30:00,0.0
2000-01-01 18:00:00,171.55348504664127
2000-01-01 18:30:00,0.0
2000-01-01 19:00:00,185.30612870510302
2000-01-01 19:30:00,0.0
2000-01-01 20:00:00,180.05360364928654
2000-01-01 20:30:00,0.0
2000-01-01 21:00:00,165.91983278768228
2000-01-01 21:30:00,0.0
2000-01-01 22:00:00,158.03588961170175
2000-01-01 22:30:00,0.0
2000-01-01 23:00:00,165.65564110181396
2000-01-01 23:30:00,0.0
2000-01-02 00:00:00,146.77698107415762
2000-01-02 00:30:00,0.0
2000-01-02 01:00:00,0.0
2000-01-02 01:30:00,0.0
2000-01-02 02:00:00,0.0
2000-01-02 02:30:00,0.0
2000-01-02 03:00:00,0.0
2000-01-02 03:30:00,0.0
2000-01-02 04:00:00,0.0
2000-01-02 04:30:00,0.0
2000-01-02 05:00:00,0.0
2000-01-02 05:30:00,0.0
2000-01-02 06:00:00,0.0
2000-01-02 06:30:00,0.0
2000-01-02 07:00:00,0.0
2000-01-02 07:30:00,0.0
2000-01-02 08:00:00,0.0
2000-01-02 08:30:00,0.0
2000-01-02 09:00:00,0.0
2000-01-02 09:30:00,0.0
2000-01-02 10:00:00,0.0
2000-01-02 10:30:00,0.0
2000-01-02 11:00:00,0.0
2000-01-02 11:30:00,0.0
2000-01-02 12:00:00,0.0
2000-01-02 12:30:00,0.0
2000-01-02 13:00:00,0.0
2000-01-02 13:30:00,0.0
2000-01-02 14:00:00,139.0790536219006
2000-01-02 14:30:00,0.0
2000-01-02 15:00:00,0.0
2000-01-02 15:30:00,0.0
2000-01-02 16:00:00,0.0
2000-01-02 16:30:00,0.0
2000-01-02 17:00:00,122.67752219417632
2000-01-02 17:30:00,0.0
2000-01-02 18:00:00,125.46252671923234
2000-01-02 18:30:00,0.0
2000-01-02 19:00:00,141.433686060085
2000-01-02 19:30:00,0.0
2000-01-02 20:00:00,138.3908562805732
2000-01-02 20:30:00,0.0
2000-01-02 21:00:00,126.17077174860061
2000-01-02 21:30:00,0.0
2000-01-02 22:00:00,119.93976594651103
2000-01-02 22:30:00,0.0
2000-01-02 23:00:00,0.0
2000-01-02 23:30:00,0.0
2000-01-03 00:00:00,0.0
2000-01-03 00:30:00,0.0
2000-01-03 01:00:00,0.0
2000-01-03 01:30:00,0.0
2000-01-03 02:00:00,0.0
2000-01-03 02:30:00,0.0
2000-01-03 03:00:00,0.0
2000-01-03 03:30:00,0.0
2000-01-03 04:00:00,0.0
2000-01-03 04:30:00,0.0
2000-01-03 05:00:00,0.0
2000-01-03 05:30:00,0.0
2000-01-03 06:00:00,0.0
2000-01-03 06:30:00,0.0
2000-01-03 07:00:00,0.0
2000-01-03 07:30:00,0.0
2000-01-03 08:00:00,0.0
2000-01-03 08:30:00,0.0
2000-01-03 09:00:00,0.0
2000-01-03 09:30:00,0.0
2000-01-03 10:00:00,0.0
2000-01-03 10:30:00,0.0
2000-01-03 11:00:00,0.0
2000-01-03 11:30:00,0.0
2000-01-03 12:00:00,0.0
2000-01-03 12:30:00,0.0
2000-01-03 13:00:00,0.0
2000-01-03 13:30:00,0.0
2000-01-03 14:00:00,0.0
2000-01-03 14:30:00,0.0
2000-01-03 15:00:00,0.0
2000-01-03 15:30:00,0.0
2000-01-03 16:00:00,0.0
2000-01-03 16:30:00,0.0
2000-01-03 17:00:00,106.37056063243884
2000-01-03 17:30:00,0.0
2000-01-03 18:00:00,109.92115699392338
2000-01-03 18:30:00,0.0
2000-01-03 19:00:00,126.60849073261234
2000-01-03 19:30:00,0.0
2000-01-03 20:00:00,124.160483294152
2000-01-03 20:30:00,0.0
2000-01-03 21:00:00,112.44558699283114
2000-01-03 21:30:00,0.0
2000-01-03 22:00:00,106.61773718840466
2000-01-03 22:30:00,0.0
2000-01-03 23:00:00,0.0
2000-01-03 23:30:00,0.0
2000-01-04 00:00:00,0.0
2000-01-04 00:30:00,0.0
2000-01-04 01:00:00,0.0
2000-01-04 01:30:00,0.0
2000-01-04 02:00:00,0.0
2000-01-04 02:30:00,0.0
2000-01-04 03:00:00,0.0
2000-01-04 03:30:00,0.0
2000-01-04 04:00:00,0.0
2000-01-04 04:30:00,0.0
2000-01-04 05:00:00,0.0
2000-01-04 05:30:00,0.0
2000-01-04 06:00:00,0.0
2000-01-04 06:30:00,0.0
2000-01-04 07:00:00,0.0
2000-01-04 07:30:00,0.0
2000-01-04 08:00:00,0.0
2000-01-04 08:30:00,0.0
2000-01-04 09:00:00,0.0
2000-01-04 09:30:00,0.0
2000-01-04 10:00:00,0.0
2000-01-04 10:30:00,0.0
2000-01-04 11:00:00,0.0
2000-01-04 11:30:00,0.0
2000-01-04 12:00:00,0.0
2000-01-04 12:30:00,0.0
2000-01-04 13:00:00,0.0
2000-01-04 13:30:00,0.0
2000-01-04 14:00:00,0.0
2000-01-04 14:30:00,0.0
2000-01-04 15:00:00,0.0
2000-01-04 15:30:00,0.0
2000-01-04 16:00:00,0.0
2000-01-04 16:30:00,0.0
2000-01-04 17:00:00,0.0
2000-01-04 17:30:00,0.0
2000-01-04 18:00:00,0.0
2000-01-04 18:30:00,0.0
2000-01-04 19:00:00,0.0
2000-01-04 19:30:00,0.0
2000-01-04 20:00:00,120.21241727875783
2000-01-04 20:30:00,0.0
2000-01-04 21:00:00,108.9225551998815
2000-01-04 21:30:00,0.0
2000-01-04 22:00:00,103.49224398482178
2000-01-04 22:30:00,0.0
2000-01-04 23:00:00,113.2694254719408
